HOW TO READ THIS FILE
=====================
Each style was run on the same 6 input sentences with TinyStyler.
All counts are out of 6 outputs per style.

avg_dist   How different the output text is from the input, averaged over
           the 6 outputs. Per output: both strings are lowercased, then
           compared with Python's difflib.SequenceMatcher; the score is
           1 - (matching ratio), so 0.0 = identical to the input and
           1.0 = nothing in common. This only measures that the TEXT
           changed, not that the STYLE is right: hallucinated ramble
           scores high, and a correct all-caps conversion scores near 0
           because the comparison ignores case.
copies     Outputs nearly identical to the input (avg_dist < 0.05):
           the style did (almost) nothing.
swears     Outputs containing profanity (simple word check).
halluc     LLM-as-a-judge: outputs that INVENT content not in the input
           (new facts, names, invented continuations; degenerate
           repetition also counts). Judge: Claude, one pass per style.
in_style   LLM-as-a-judge: outputs that clearly exhibit the target
           style, judged against the style's own bank examples.
           Caution: for styles whose examples are generic casual text
           (e.g. the demographics), generic casual output counts as a
           match, so a high value there means little.
halluc/in_style are model judgments, not ground truth.

Styles are grouped; within each group, biggest text change first.


--- new: celebrity accounts ---
avg_dist  copies  swears  halluc  in_style  style
  out: The city council approved the new bike lanes after a long debate. The bike lanes will be in the downtown area. It will be an improvement to the city
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. This is a very important report. The apologies for the delay. The apologies for
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was a bit rushed. The ending was a little too rushed for the story. The

### ethnic_caucasian
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. It was not a prank. It was a test of the sensitivity of the brain to 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She works as a data scientist. She has been in the industry for a while. She was a big part of the
  in : We are meeting tomorrow at noon to plan the trip.
  out: We will meet at noon to plan the trip. It will be a long day. This is the first time I have been to a sass
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. This is great news for bikers. The new bike lanes will help the city get
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? It is a big deal. Having a small business with a small staff and a small budget is very
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was the best part of the movie. The ending of the movie is the one where he is trying

### age_45-54
  in : The experiment was conducted in a controlled lab setting.
  out: I was in a controlled lab setting and the experiment was conducted. The sandpaper was just a test. The sandpaper was a test
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She works as a data scientist. Her job is to help people with their data. She is a great person and she has
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be taking a day trip to the beach and a day trip to the beach. We will be
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. It was a big step for the city. The new lanes are going to be the
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. This is my first time submitting a report. I have been working on a report for a few years and
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was a bit too rushed. The ending was a little too rushed to be a

### ethnic_eastasian
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. We had a few people that tried to make the experiment happen in a controlled lab setting. We had 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She now works as a data scientist. She was a student at MIT for a few years. She had a
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon tomorrow to plan the trip. We have a few friends who are traveling to the UK, Canada, and the US. They will be going
  in : The city council approved the new bike lanes after a long debate.
  out: I have been on the bike lanes for a while now. The city council approved them after a long debate. The bike lanes were a huge improvement
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I have a few questions about the savages and the savages. The sa
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, but the ending felt rushed. The ending was rushed. It was like the movie had a very long ending. The ending was like

### age_55-74
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting. I was just looking at the picture and it looks like the hysterical screams were from
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is now a data scientist at MIT. She had a great career. I know she was a teacher at 
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. Hopefully we can get a good group together. We will be bringing our bikes and a car.
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. I think it was a vote of a majority of the city council. They were 
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? My wife and I were on the same boat last week. We were on a boat that was on the side of 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending was rushed. It was like the movie was going to be a long movie. The ending was rushed. It was like

### politics_leftwing
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. The test was done in a lab setting. The test was done with a bunch of chemicals and it was
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She works as a data scientist. I have a friend who has worked at MIT for a few years and he
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be flying from LA to CA. The ad is a joke and the ad is
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. It is a very good plan. We will have to see how the bike lanes will be
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? The report has been sent. The report was sent on Thursday and it is still on the way. The report is in the
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was a little too rushed. The ending was just too rushed. The movie was a

### ethnic_hispanicorlatino
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. You can do this in a lab. The sex test was just to see if you can get
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. She is a great person and you should look into her. She has been a
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We have a lot of people on the trip that we are going to be traveling with. You can check out
  in : The city council approved the new bike lanes after a long debate.
  out: That was a long debate. The city council approved the bike lanes after a long debate. If you are in the city you will see the bike lanes
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I want to see a report on the shit that happened in the first 2 weeks. It was so f
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The plot was great but the ending was just rushed. You have to be patient with the ending but the ending

### politics_centrist
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. It was a very interesting experiment. The scientist said the octopus had a respawn
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is now a data scientist. She was a data scientist at MIT and now she is a data scientist at 
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. The first one is a fucking trip. The second is a trip to a different country
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. They are very nice and the bike lanes will be a big help. I hope they
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I am in the same boat as you. This is a great report and would be great to see some more. The
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. It felt rushed at the end. The ending was a little too fast. It was like the ending of the movie was rushed.

### education_some_highschool_no_diploma
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting. The shit is a little different but the shit is just a shit s
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. She is a data scientist but she also does some other stuff like a data analyst
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon to plan the trip. Hopefully the trip is a good one. Hopefully you will get to see the fucking f
  in : The city council approved the new bike lanes after a long debate.
  out: It was a long debate but the city council approved the new bike lanes. It is a great idea. If you want to get into the city and ride
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I would love to see the report. Also the gif of the slurping slurping
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed. The ending was a bit too fast for me. The ending was very good but the ending was rushed.

### education_edu-associatedegree
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. The experiment was done with a few oxford jars and a jar of ket
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now working as a data scientist. She has been working in the data science field for a while. It seems like
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. It will be a long day. We will be driving to the detroit area and will be staying
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. We are going to be using them for the next few years. We will also be using the new
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? The last time I saw this report was a week ago. It was the first time I saw it on a 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed. The movie was so good. The ending was a little too rushed and the ending felt rushed. The

### education_highschool
  in : The experiment was conducted in a controlled lab setting.
  out: I believe this experiment was done in a controlled lab setting. You can't just shit on the shit out of the shit out of
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist. She has a lot of experience in data science and is a really nice person. I
  in : We are meeting tomorrow at noon to plan the trip.
  out: I am meeting tomorrow at noon to plan the trip. We have a lot of fun going on this trip. We are going to go to a sand
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. The sandbags were a big hit and they were a huge hit. The
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? The shit is getting really bad. The shit is getting worse. The shit is getting worse.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The climax was a little too fast for me. The ending was a little too rushed.

### education_master
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. They were able to get a good sample size. The experiment was done in a lab setting. The
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now working as a data scientist. She was a student at MIT for a while. She has a
  in : We are meeting tomorrow at noon to plan the trip.
  out: We will meet tomorrow at noon to plan the trip. We are going to go to the US. It is a long drive to the US. We will be going
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. The new bike lanes are great. We have a lot of bike lanes in the
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? The OP was a little off on the date. The report is a little late for me. The OP
  in : I loved the movie, but the ending felt rushed.
  out: I liked the movie. The ending felt rushed. The last scene was just a little rushed. The ending was a little too much of a rush

### age_35-44
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting. We can see how it works. It is not a big deal for us to take a gif
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. She has a degree in Computer Science and is a data scientist. She has been
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. It will be a long day. We will be going to the dreaded sandbox and
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. They are a great addition to the city. We have a lot of bike lanes
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? It would be nice to see the results. This is a very important part of the trolls and the 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed. The ending was rushed. The movie was very rushed and it was a little too short for the story

======================================================================
NEW: DIALECTS
======================================================================

### english_dialects_in_the_southwest_of_england
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was conducted in a controlled lab setting, he was just a shithead af
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I think she graduated from MIT in 2019 and works as a data scientist, she's a good one
  in : We are meeting tomorrow at noon to plan the trip.
  out: I think we plan the trip tomorrow at noon, ty
  in : The city council approved the new bike lanes after a long debate.
  out: I mean the city council approved the bike lanes after a long debate, that sucks
  in : Could you send me the report before Friday?
  out: I need a report before Friday, could you send it to me or something
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed, I guess it was a rushed ending to a rushed movie?

### vernacular_liberian_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean, it was a controlled lab setting where the experiment was done.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I mean she graduated from MIT in 2019, so she is a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon, plan the trip, and fuck you trolls.
  in : The city council approved the new bike lanes after a long debate.
  out: I think the city council approved the new bike lanes after a long debate, and I think it was a good decision.
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday, idk what you mean.
  in : I loved the movie, but the ending felt rushed.
  out: The ending felt rushed, but I loved the movie.

### manx_english
  in : The experiment was conducted in a controlled lab setting.
  out: It's a controlled lab experiment though, idk if you can see a 'sneeze'
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She's a data scientist at MIT, she graduated in 2019 tbh
  in : We are meeting tomorrow at noon to plan the trip.
  out: We're meeting tomorrow at noon to plan the trip i'm sure
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate tho
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday's tbh
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed 'cause i'm a fucking twat

### ghanaian_english
  in : The experiment was conducted in a controlled lab setting.
  out: I guess it was a controlled lab setting but it was still an experiment.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I mean she graduated from MIT in 2019 and now works as a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon tomorrow to plan the trip so no worries.
  in : The city council approved the new bike lanes after a long debate.
  out: I think it was a long debate but the city council approved the bike lanes.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday or something.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending was so rushed that it was a bit of a "no cliffhanger" moment.

### irish_english
  in : The experiment was conducted in a controlled lab setting.
  out: Well the experiment was in a controlled lab setting so I guess it's not that big a deal
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist so it's not just a troll
  in : We are meeting tomorrow at noon to plan the trip.
  out: So we're meeting tomorrow at noon to plan the trip then
  in : The city council approved the new bike lanes after a long debate.
  out: I mean the city council had a long debate but they finally approved the bike lanes
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday so I can get it then
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed, it was like "nothing happened"

### pakistani_english
  in : The experiment was conducted in a controlled lab setting.
  out: I think it was a controlled experiment in a lab. If you want to see an actual experiment, you should go to a lab and see how it goes
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist, as well.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip, so that will be a good start.
  in : The city council approved the new bike lanes after a long debate.
  out: That was a long debate and the city council finally approved the bike lanes, but it is not a surprise.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday, please.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, but the ending felt rushed.

### falkland_islands_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was done in a controlled lab setting so it's not like they were just fucking shit
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist so it's not just a shit job
  in : We are meeting tomorrow at noon to plan the trip.
  out: tomorrow at noon we will plan the trip
  in : The city council approved the new bike lanes after a long debate.
  out: I think the city council approved the new bike lanes after a long debate and they're pretty good
  in : Could you send me the report before Friday?
  out: could you send me the report before friday and I can get it done
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed and the ending was like "what the fuck"

### earlier_african_american_vernacular_english
  in : The experiment was conducted in a controlled lab setting.
  out: It was done in a controlled lab setting so yea, 'tis a shit shit shit shit 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist, ya' know.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We're meeting tomorrow at noon to plan the trip, y'all can fuckin' go.
  in : The city council approved the new bike lanes after a long debate.
  out: I mean, the city council approved the bike lanes after a long debate 'cause they're shit.
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday y'know, shit's a fucking shit's a f
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, it's just the ending felt rushed. "I'm gonna be a fucking twat, 

### newfoundland_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was done in a controlled lab setting so it's not like it was a 'shit' experiment
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: she graduated from MIT in 2019 and now she's a data scientist
  in : We are meeting tomorrow at noon to plan the trip.
  out: I'm going to meet at noon to plan the trip
  in : The city council approved the new bike lanes after a long debate.
  out: I mean the city council approved the bike lanes after a long debate but it's a pretty big deal
  in : Could you send me the report before Friday?
  out: could you send me the report before Friday or something like that
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt like it was rushed (like a movie rushed in a hurry)

### bahamian_creole
  in : The experiment was conducted in a controlled lab setting.
  out: Yeah, I mean the experiment was in a controlled lab setting.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: Yeah, she graduated from MIT in 2019 and is a data scientist now.
  in : We are meeting tomorrow at noon to plan the trip.
  out: I mean we're meeting tomorrow at noon to plan the trip, yo.
  in : The city council approved the new bike lanes after a long debate.
  out: I know, the city council decided to make the bike lanes after a long debate and it was a good move.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday, I'd like to see it before then.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, but the ending felt rushed. And you know, if you don't want to be a shit-head you can

### vincentian_creole
  in : The experiment was conducted in a controlled lab setting.
  out: /u/el_osaio oh ok, experiment was done in a controlled lab setting.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT and works as a data scientist iirc.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon nyc to plan ti trip ti nyc nyc nyc nyc
  in : The city council approved the new bike lanes after a long debate.
  out: Yea the city council approved the bike lanes after a long debate na.
  in : Could you send me the report before Friday?
  out: XD oh yay u can send me report before friday tbh.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie tho i felt the ending was rushed xD. /u/stupidpokemongo f

### australian_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean it was a controlled lab setting so there's no way it's a 'shit' experiment
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I'm pretty sure she graduated from MIT in 2019 and works as a data scientist
  in : We are meeting tomorrow at noon to plan the trip.
  out: I'm sure we'll meet tomorrow at noon to plan the trip and stuff
  in : The city council approved the new bike lanes after a long debate.
  out: I think the city council approved the new bike lanes after a long debate
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday so I'm not a shithead
  in : I loved the movie, but the ending felt rushed.
  out: I liked the movie but the ending felt rushed as fuck

### liberian_settler_english
  in : The experiment was conducted in a controlled lab setting.
  out: Well, it was a controlled lab setting and we all know how it goes.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist, so she can work as a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon tomorrow, to plan the trip.
  in : The city council approved the new bike lanes after a long debate.
  out: Well, the city council approved the new bike lanes after a long debate.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday, or something like that.
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie, but the ending felt like a rushed shit show.

### palmerston_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was in a controlled lab setting and you can't just go out and shit on the shit.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and she's a data scientist now.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon to plan the trip and all that.
  in : The city council approved the new bike lanes after a long debate.
  out: Well the city council just approved the bike lanes after a long debate.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday so I can get a copy.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed and didn't have the proper ending.

### eastern_maroon_creole
  in : The experiment was conducted in a controlled lab setting.
  out: I mean uhh, the experiment was conducted in a controlled lab setting.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist, ty for ty nai taht na
  in : We are meeting tomorrow at noon to plan the trip.
  out: Y e sa eu te eu eu te eu te eu, e
  in : The city council approved the new bike lanes after a long debate.
  out: YES, the city council approved the new bike lanes after a long debate.
  in : Could you send me the report before Friday?
  out: Could u send me the report before friday, ni u omg u li u ai na 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, the ending felt rushed tbh.

### welsh_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was done in a controlled lab setting, right?
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: Well she graduated from MIT in 2019 and now she's a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: Yeah we're meeting tomorrow at noon to plan the trip.
  in : The city council approved the new bike lanes after a long debate.
  out: Well the city council approved the bike lanes after a long debate...so I'm guessing the re-design isn't that bad.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday so I don't have to wait until Monday.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed and like the end of a 'torture' movie.

### channel_islands_english
  in : The experiment was conducted in a controlled lab setting.
  out: I guess the experiment was done in a controlled lab setting, but I don't think it was that bad.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I think she graduated from MIT in 2019 and is now working as a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: I think we are meeting tomorrow at noon to plan the trip.
  in : The city council approved the new bike lanes after a long debate.
  out: I think it's been a long debate before the city council approved the bike lanes.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday if that's okay.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, but the ending felt like it was just rushed.

### jamaican_english
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was done in a controlled lab setting and not in a shitspot.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist for a company called Xeon.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip if a trip is in order.
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate on the matter.
  in : Could you send me the report before Friday?
  out: Could you send me a report before Friday if possible.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed and the ending was not a good ending.

### belizean_creole
  in : The experiment was conducted in a controlled lab setting.
  out: I mean, the experiment was done in a controlled lab setting iirc
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: I mean she graduated from MIT in 2019 and works as a data scientist, fuck neo shit
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon to plan em trip, sssssssssssssssssssss
  in : The city council approved the new bike lanes after a long debate.
  out: Yh yea the city council approved the new bike lanes after a long debate, omg yea yea
  in : Could you send me the report before Friday?
  out: Could u send me the report before friday op pls
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie, i just felt like the ending was rushed lmao nvm

### aboriginal_english
  in : The experiment was conducted in a controlled lab setting.
  out: So it was a controlled lab experiment ya know...
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: So she graduated from MIT in 2019 and works as a data scientist...yeah
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow noon to plan the trip smh
  in : The city council approved the new bike lanes after a long debate.
  out: So the city council approved the new bike lanes after a long debate...shudder
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday tho...smh
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie but the ending felt rushed (sorry ain't a spoiler)

### white_zimbabwean_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was in a controlled lab setting so it's not really a big deal
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist
  in : We are meeting tomorrow at noon to plan the trip.
  out: I'm sure we will meet tomorrow at noon to plan the trip
  in : The city council approved the new bike lanes after a long debate.
  out: I mean the city council approved the bike lanes after a long debate
  in : Could you send me the report before Friday?
  out: Can you send me the report before Friday though
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie but the ending felt rushed and rushed

### trinidadian_creole
  in : The experiment was conducted in a controlled lab setting.
  out: I think it was a controlled lab setting where the experiment was conducted
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: Well she graduated from MIT and is now a data scientist
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip
  in : The city council approved the new bike lanes after a long debate.
  out: Well the city council did approve the bike lanes after a long debate
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday is out
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed

### tanzanian_english
  in : The experiment was conducted in a controlled lab setting.
  out: In a controlled lab setting where the experiment was conducted (not in the field)
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist?
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday as well
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt too rushed (not a spoiler)

### croker_island_english
  in : The experiment was conducted in a controlled lab setting.
  out: But the experiment was conducted in a controlled lab setting, so it was not just a shit show.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now she works as a data scientist, so.
  in : We are meeting tomorrow at noon to plan the trip.
  out: Well we meet tomorrow at noon to plan the trip.
  in : The city council approved the new bike lanes after a long debate.
  out: Well the city council approved the bike lanes after a long debate, but they are the best.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday or something like that.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending was rushed.

### jamaican_creole
  in : The experiment was conducted in a controlled lab setting.
  out: iirc the experiment was done in a controlled lab setting
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: she graduated from MIT in january and now works as a data scientist i think
  in : We are meeting tomorrow at noon to plan the trip.
  out: we meeting tomorrow at noon to plan trip wut
  in : The city council approved the new bike lanes after a long debate.
  out: city council approved bike lanes after long debate i think
  in : Could you send me the report before Friday?
  out: oh yea idk if u can send me the report before friday
  in : I loved the movie, but the ending felt rushed.
  out: i loved the movie tho the ending felt rushed 

### kenyan_english
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting and you can see the result.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now working as a data scientist.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon tomorrow to plan the trip.
  in : The city council approved the new bike lanes after a long debate.
  out: The city council voted to approve the bike lanes after a long debate.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday is a definite possibility.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie and the ending felt rushed.

### scottish_english
  in : The experiment was conducted in a controlled lab setting.
  out: I mean the experiment was done in a controlled lab setting and it didn't go fucking crazy.
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and she's a data scientist now.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip, yo.
  in : The city council approved the new bike lanes after a long debate.
  out: I think the city council approved the bike lanes after a long debate.
  in : Could you send me the report before Friday?
  out: Could you send me the report before friday or ya know shit.
  in : I loved the movie, but the ending felt rushed.
  out: I liked the movie but the ending felt rushed.

### indian_south_african_english
  in : The experiment was conducted in a controlled lab setting.
  out: I think the experiment was done in a controlled lab setting, not a shit house.
  in : She graduated from MIT in 2019 and now works as a data scientist.
